,from_addr,block_date,block_number,approx_value
67,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-01,104,1068.4123118370771
68,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-02,85,1003.660921394825
69,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-03,96,1143.7768361121416
70,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-04,91,945.462866216898
71,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-05,77,794.4807772189379
72,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-06,92,977.1628857851028
73,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-07,86,818.1726680546999
74,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-08,65,446.608428504318
75,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-09,30,272.97931545972824
76,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-11,11,5.88623065687716
77,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-12,7,3.6088140551000834
78,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-13,6,3.6338678877800703
79,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-14,8,4.94701530598104
80,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-15,2,1.256040621548891
81,a0426ebf76da84e3a5e9a3668306eea53afe3c2c19254578633571de72b79b15,2018-05-16,4,2.561604207381606
94,a05b569f9af9f9e3ebbd0c1b4ffc42562fea75334f29142d7cccfbc65e093474,2018-05-10,475,266.9146965709515
95,a05b569f9af9f9e3ebbd0c1b4ffc42562fea75334f29142d7cccfbc65e093474,2018-05-11,814,477.2537465309724
105,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-14,11,12.336480847094208
